customerid,lastname,firstname,areacode,area,birthday,age,sex,totalprice,lastorderdate
Q1071171,ミネテヌ,ユウネ,2,青森県,1930/8/8,91,1,38685,2021/6/29
R1071244,アホ,セフ,39,高知県,1995/3/3,26,2,33700,2020/3/27
I1071351,サヲエヲ,ユハ,21,岐阜県,1962/3/22,59,2,44200,2020/11/22
U1071435,スケモチ,メニヘミ,40,福岡県,1943/10/15,78,1,28500,2021/4/3
Q1071581,カハ,ヒソメモ,36,徳島県,1954/9/28,67,2,23723,2021/7/16
X1071635,クオ,ホア,47,沖縄県,1982/9/29,39,2,20100,2021/1/8
O1071744,カクタ,ヒケヌ,29,奈良県,1968/3/22,53,2,38568,2021/8/23
E1071836,キコメ,トノコソ,8,茨城県,1955/6/6,66,1,44615,2021/9/4
V1071980,ヘフワ,ワフ,1,北海道,1956/9/27,65,2,12100,2019/12/23
O1072042,フマ,オシエミ,31,鳥取県,1949/6/25,72,2,84800,2021/8/25
C1072135,ノウホフ,チサンス,13,東京都,1975/8/5,46,2,92030,2021/1/24
Q1072210,シサヘ,イス,31,鳥取県,1928/11/20,92,2,38200,2020/10/12
F1072397,ママワ,ネホ,2,青森県,1935/11/25,85,2,23027,2020/9/21
R1072457,ナサモ,ツヨ,6,山形県,1996/12/8,24,1,52900,2021/3/7
M1072528,ハツホハ,イヒフ,17,石川県,1975/12/31,45,1,96700,2021/1/9
V1072612,スメセネ,ヒヒタ,47,沖縄県,1932/6/30,89,2,24170,2019/10/23
X1072797,ワコツテ,ネユホナ,12,千葉県,1928/10/17,93,2,48900,2021/8/4
N1072814,コツタト,セカワ,19,山梨県,1952/6/1,69,2,36700,2021/6/8
K1072990,クネ,ウホ,31,鳥取県,1934/2/14,87,2,77400,2021/1/31
G1073099,キフ,テチアテ,24,三重県,1924/10/19,97,2,18734,2020/9/5
Y1073197,テヒ,アヲ,47,沖縄県,1928/2/10,93,2,18900,2019/7/27
W1073267,セク,ムツ,15,新潟県,1938/1/1,83,2,37285,2021/10/18
R1073327,ンン,ユテキハ,4,宮城県,2001/6/2,20,1,647,2019/3/20
Z1073465,ヘヤ,ナニハ,12,千葉県,1927/9/3,94,2,55900,2020/1/31
G1073510,テハ,コク,47,沖縄県,1968/11/7,52,1,13100,2020/6/6
N1073640,シケツ,テケ,38,愛媛県,2001/10/28,20,1,78500,2020/3/24
C1073782,キカヌ,カタツ,20,長野県,2004/10/6,17,1,33000,2021/8/18
F1073848,ヨエネ,ネチ,20,長野県,1986/3/23,35,2,98900,2021/10/9
Y1073993,インメケ,ミイノソ,26,京都府,1969/8/8,52,1,37492,2021/4/20
L1074032,トムマ,ミモ,22,静岡県,1956/6/28,65,2,84100,2021/8/9
N1074141,ヘテタヘ,ンウキ,27,大阪府,1996/12/11,24,2,43600,2020/11/2
S1074270,ウナミ,ノホ,10,群馬県,1932/11/6,88,2,56258,2021/9/22
U1074366,テカコ,ヌツソニ,35,山口県,1945/11/23,75,2,20500,2021/9/21
C1074481,イメカ,キマツ,17,石川県,1974/4/1,47,1,57310,2020/12/23
R1074530,ヒマ,チサニ,31,鳥取県,1953/8/18,68,2,13700,2019/7/16
C1074683,チワテツ,ノノチ,34,広島県,1926/11/10,94,2,11900,2020/11/17
R1074768,ソヲ,ヤカ,41,佐賀県,1987/7/16,34,1,76379,2021/4/30
X1074859,ノメ,チスチ,8,茨城県,2002/6/22,19,1,69500,2020/10/6
I1074957,ワヨヤ,シケチヤ,12,千葉県,1962/4/9,59,2,27900,2021/9/27
H1075088,オヨ,コネ,40,福岡県,1935/3/26,86,2,25592,2019/12/28
N1075174,ホヨヌヒ,ユイト,22,静岡県,1983/7/25,38,2,27800,2020/6/14
L1075226,ウケエネ,クク,20,長野県,1942/11/27,78,1,67971,2021/7/27
G1075315,ユト,ケセ,29,奈良県,2002/1/7,19,2,66174,2021/5/25
X1075443,ヲヌキホ,ハセ,41,佐賀県,1954/9/4,67,2,10900,2021/5/23
L1075589,ノネ,ネオエイ,10,群馬県,1937/2/13,84,2,64600,2021/7/30
F1075645,ワセ,ソオ,24,三重県,1955/3/5,66,1,6600,2019/12/13
Z1075749,クセヤ,ウエ,19,山梨県,1947/3/3,74,1,28700,2020/2/9
T1075831,シヌ,ソテ,26,京都府,1972/9/30,49,1,26856,2021/8/22
K1075997,ヌメコ,コヤソ,3,岩手県,1960/11/18,60,2,54541,2021/9/27
N1076019,ニヨシ,クネ,40,福岡県,1947/1/27,74,1,50100,2021/3/27
E1076154,ハメ,テチホヌ,43,熊本県,1970/7/27,51,2,56127,2021/2/26
I1076286,タウス,フヨ,14,神奈川県,1931/11/6,89,2,41147,2021/6/5
C1076323,ワユヤ,クシヌ,47,沖縄県,1954/8/27,67,1,75000,2021/8/18
P1076420,モア,キノヘメ,34,広島県,1985/7/17,36,1,28400,2021/10/5
H1076561,ソヲオ,ヌキモハ,18,福井県,1968/1/16,53,1,59885,2019/8/2
P1076618,オフセホ,ヨニコク,45,宮崎県,1953/6/21,68,1,28100,2021/2/15
W1076756,オエサ,セク,33,岡山県,2003/2/18,18,1,40591,2020/3/12
N1076861,モセヌモ,ヤンネ,36,徳島県,1974/10/4,47,2,12308,2020/7/23
H1076917,エワヘ,メクセカ,20,長野県,1951/12/2,69,2,24972,2020/12/26
K1077094,ヤミネ,ンヲエ,40,福岡県,1996/8/31,25,1,47971,2021/4/1
W1077178,ンミ,ニユ,44,大分県,2003/7/6,18,2,35600,2020/8/18
R1077232,タシワ,ケケマ,22,静岡県,1934/6/25,87,1,102044,2021/11/2
R1077310,ヨアウニ,カフ,2,青森県,1941/6/18,80,2,25800,2021/4/30
D1077483,ナヲヒ,イヨニヌ,5,秋田県,1993/11/10,27,2,7162,2019/7/14
Q1077531,メテウミ,ウスシヘ,46,鹿児島県,1957/7/18,64,2,70100,2021/6/29
K1077683,ヒメ,ヘメニア,3,岩手県,1966/5/6,55,1,52800,2020/10/24
K1077725,サヤ,ニクヨソ,30,和歌山県,1957/9/19,64,2,60631,2021/9/25
L1077886,オタホ,ナカ,32,島根県,1988/11/4,32,2,40100,2021/9/4
V1077962,ヨナムン,ミネイヘ,37,香川県,1997/8/29,24,2,49300,2021/10/31
N1078023,ネヒサ,ユツミ,45,宮崎県,1992/3/5,29,2,38182,2021/7/2
F1078131,ホユユ,ヨハ,35,山口県,1954/3/26,67,2,40200,2020/12/4
A1078249,ウメクハ,アヤ,31,鳥取県,1923/10/12,98,2,84400,2021/7/19
Y1078320,チウコ,ンワソ,12,千葉県,1958/3/3,63,2,70675,2021/10/26
T1078418,ケモノ,オワ,15,新潟県,1979/6/26,42,1,30500,2021/9/17
D1078523,ノテニネ,エエユ,31,鳥取県,1971/11/7,49,2,36600,2020/6/25
Y1078651,ネヨモ,ユカヘ,27,大阪府,1971/10/12,50,1,25700,2019/7/14
V1078756,ヌコ,ワヌイセ,47,沖縄県,1926/5/17,95,2,30000,2020/9/4
V1078836,トイトカ,オオ,2,青森県,1958/4/23,63,1,98700,2021/5/27
Y1078995,ウマヨ,テヲア,32,島根県,2000/1/31,21,1,8500,2020/9/3
A1079034,ソサ,ソオニ,8,茨城県,1936/4/28,85,2,124800,2021/5/17
X1079144,マフ,ウマニ,47,沖縄県,1991/9/25,30,1,41100,2021/8/30
S1079288,ハネ,メミ,24,三重県,1998/3/24,23,1,31542,2020/4/20
U1079343,ホノ,ヨキ,8,茨城県,1977/6/28,44,1,9500,2020/3/17
K1079436,ンヌチ,イチ,42,長崎県,1974/1/15,47,1,4313,2020/8/9
U1079599,メヌオニ,タナウフ,34,広島県,1949/9/17,72,2,44600,2021/6/6
I1079617,ホニヨ,ウナ,25,滋賀県,2002/6/7,19,1,39876,2020/11/30
E1079719,エンヒ,ヒハタ,3,岩手県,1965/12/20,55,2,18700,2020/12/23
X1079882,ヲケチソ,エホキ,33,岡山県,1922/2/5,99,2,33200,2020/4/1
M1079936,ヲホ,ニソコチ,37,香川県,2005/5/20,16,1,42100,2021/4/12
G1080085,キトチシ,ワセ,3,岩手県,1943/6/7,78,2,38860,2021/3/23
Z1080171,ヘナ,モハサモ,31,鳥取県,1972/4/30,49,1,19200,2021/6/9
M1080297,カコメソ,ツオ,33,岡山県,1954/8/12,67,2,49600,2021/3/14
P1080358,ウモネノ,ワアソ,29,奈良県,1951/11/28,69,2,13134,2020/7/15
Q1080495,クマ,メワヌ,34,広島県,1970/9/15,51,2,21500,2021/6/23
A1080553,ノミ,ヌヨヨ,17,石川県,1977/1/28,44,1,20900,2021/2/8
D1080682,キイア,モモ,38,愛媛県,1942/4/4,79,2,17300,2021/1/12
U1080726,ユニフホ,ウクヘ,42,長崎県,1936/12/30,84,2,39407,2021/1/3
B1080831,ユメ,セツミ,7,福島県,1984/3/22,37,1,48500,2020/9/28
R1080916,セユチ,ホヲ,13,東京都,1971/2/19,50,2,22500,2021/2/27
V1081024,タワ,クエト,41,佐賀県,1983/7/21,38,2,38600,2020/5/6
M1081177,ワミ,ツア,47,沖縄県,1923/4/22,98,1,55376,2019/11/22
H1081271,コヨトニ,サクワイ,24,三重県,1999/5/30,22,2,53100,2021/9/10
L1081381,ナユ,ホヌン,37,香川県,1933/3/8,88,1,13700,2020/3/27
Q1081483,ツケ,マシ,10,群馬県,1968/8/7,53,1,37300,2019/12/12
H1081588,ノキナタ,イツ,45,宮崎県,1982/8/14,39,1,16500,2021/7/28
U1081686,スナ,トムナ,24,三重県,1973/5/10,48,2,33206,2021/10/11
V1081762,ミワフ,サヘセ,3,岩手県,1979/11/14,41,1,2426,2019/7/15
P1081865,ヤト,ヨソ,11,埼玉県,1922/12/15,98,2,4200,2019/5/12
R1081963,クニハ,エヤヲ,44,大分県,1975/2/6,46,1,41412,2021/10/28
A1082039,カメソハ,セククセ,43,熊本県,1999/12/18,21,1,24800,2021/10/28
G1082134,ノヘ,オオマセ,3,岩手県,1985/2/17,36,1,64700,2021/4/10
L1082226,ヌシ,ハメ,8,茨城県,1969/1/14,52,1,34400,2021/9/16
T1082368,モテマノ,ンン,26,京都府,1994/4/12,27,1,30600,2021/5/3
E1082489,エマクフ,メナ,26,京都府,1981/12/27,39,1,47700,2021/8/9
B1082542,ユス,マユ,9,栃木県,1950/11/27,70,2,31593,2021/8/4
Z1082669,ヨヨ,ヘミ,31,鳥取県,1964/11/10,56,2,46700,2021/5/9
C1082756,ヒヌ,セテ,46,鹿児島県,1984/11/10,36,2,44702,2021/8/26
S1082815,ヲトカイ,モキフニ,22,静岡県,1958/9/19,63,2,22100,2020/4/20
W1082945,タヲワフ,コモ,36,徳島県,1987/11/13,33,2,26100,2020/12/19
M1083063,ユウイ,ヘツノト,25,滋賀県,2001/10/12,20,2,42900,2019/10/24
D1083131,ヲモ,フクヘセ,12,千葉県,1936/2/27,85,2,18700,2019/12/21
D1083262,ワヤアア,ワヨム,13,東京都,1974/7/20,47,1,50615,2020/4/20
N1083379,イア,ヨワ,5,秋田県,1979/3/21,42,1,23438,2020/9/7
K1083481,セコ,ケスワノ,7,福島県,1988/7/16,33,2,37600,2021/6/10
J1083517,フオウ,ナヘチユ,30,和歌山県,1945/10/10,76,2,1893,2021/9/21
Q1083694,ウキヤ,ソム,24,三重県,1984/12/15,36,2,6000,2019/12/2
V1083775,オナスク,トアエツ,43,熊本県,1935/6/17,86,2,22552,2021/3/8
P1083832,カフノソ,セシンマ,5,秋田県,1989/9/21,32,1,47159,2021/8/26
H1083946,タフイ,オキ,12,千葉県,1928/4/22,93,2,95104,2021/3/1
E1084048,アキヲシ,タノヨ,15,新潟県,1922/3/11,99,2,9700,2019/9/28
H1084182,ウコ,ワヌ,41,佐賀県,2004/7/28,17,2,53700,2020/12/17
N1084261,ミネチモ,ノスニヨ,16,富山県,1941/5/12,80,2,41016,2020/11/21
Q1084316,ツフ,カカニ,21,岐阜県,1925/3/1,96,2,24500,2020/6/28
T1084488,ノニ,ネコユ,27,大阪府,1992/2/21,29,2,21100,2021/1/31
R1084592,ウノ,ワキサ,24,三重県,1955/10/27,66,2,18100,2021/8/15
A1084614,マノ,ニモツ,36,徳島県,1942/12/13,78,2,11015,2020/12/24
Q1084770,イヤシホ,テクコヘ,19,山梨県,1926/3/14,95,1,60900,2021/5/25
E1084827,オホト,ンモワ,33,岡山県,1998/5/20,23,2,66400,2021/10/28
P1084922,ツクタム,ワオ,20,長野県,1978/1/11,43,2,48400,2020/12/27
D1085095,ハイ,ノタ,7,福島県,1945/8/6,76,1,43724,2021/8/9
W1085181,ヤケハユ,チコヌ,28,兵庫県,1945/12/26,75,2,69300,2021/7/11
O1085275,ヘウ,ツン,12,千葉県,1926/5/25,95,1,21700,2019/12/7
Q1085372,モナ,フタ,11,埼玉県,1986/11/19,34,1,4470,2019/5/28
V1085441,サエ,イケ,5,秋田県,1934/3/26,87,2,14300,2021/8/2
Z1085575,イウユ,コマヨ,19,山梨県,1949/4/16,72,1,7700,2021/5/24
H1085662,ソヤ,ユエシエ,18,福井県,1950/8/20,71,2,70000,2021/7/31
H1085738,キソ,ユフケ,27,大阪府,1982/7/11,39,2,45200,2020/11/29
M1085866,サヨ,モサ,34,広島県,1927/5/3,94,2,43559,2021/4/10
G1085945,オトワ,コネヒテ,28,兵庫県,1994/11/9,26,1,49371,2021/9/15
S1086074,エネ,オナ,20,長野県,1999/12/15,21,1,53500,2021/10/20
P1086163,ムネイ,ミア,35,山口県,1940/9/25,81,2,119100,2021/7/22
Q1086264,オヒト,ナマオ,6,山形県,1938/11/4,82,2,37458,2020/8/30
P1086342,ヨムオ,ユチニ,22,静岡県,1940/2/10,81,1,58100,2021/8/16
Q1086494,ユナキケ,ヌノ,6,山形県,1980/2/26,41,1,16244,2021/1/8
S1086525,ヒウ,コヒ,21,岐阜県,1944/10/30,77,2,61600,2021/2/1
Y1086632,チマヤ,クキソヨ,24,三重県,1956/11/11,64,2,56000,2021/9/1
T1086783,アニ,サハ,4,宮城県,1969/3/30,52,1,75600,2021/6/24
L1086860,カナ,ヘシサオ,31,鳥取県,1940/3/28,81,1,91100,2021/1/7
Z1086991,イカ,スノテ,26,京都府,1948/4/4,73,2,32903,2020/6/8
E1087013,ココウシ,イン,7,福島県,1975/4/3,46,2,42500,2020/5/6
H1087164,ンヲエ,ケヲ,38,愛媛県,1933/8/5,88,2,31077,2020/1/27
U1087237,ウシ,キタセ,47,沖縄県,1959/6/6,62,1,35200,2019/3/10
D1087363,モクミフ,ンナニケ,8,茨城県,1937/1/11,84,1,21048,2021/8/27
G1087410,ノフ,ワアヘ,21,岐阜県,1978/2/8,43,2,24685,2020/7/24
I1087519,チエヌメ,ヌセ,9,栃木県,1945/8/29,76,2,2900,2019/10/4
R1087624,タヨトホ,タシチ,13,東京都,1955/3/20,66,1,29700,2020/1/5
C1087796,ヘク,ヌノタミ,12,千葉県,1935/12/20,85,1,49170,2020/5/26
F1087880,オナホ,セワ,14,神奈川県,1948/10/23,73,1,45700,2019/6/11
P1087964,メカキニ,ミマホ,15,新潟県,1927/7/31,94,2,31976,2020/6/14
U1088022,ノチチ,アタ,8,茨城県,1968/7/5,53,2,37795,2021/10/10
N1088125,ムソ,メシキモ,44,大分県,1975/11/26,45,2,66075,2021/8/1
W1088282,ンヘヲ,ワスム,34,広島県,1932/7/1,89,1,39971,2020/8/12
H1088333,コヌネ,ウニネサ,39,高知県,1963/5/11,58,2,32000,2021/8/4
H1088474,ニユアハ,ヒケネ,47,沖縄県,1961/12/10,59,1,103200,2020/10/24
S1088599,ヤカハ,ヤフツハ,21,岐阜県,1962/9/29,59,1,20900,2019/10/6
W1088684,ツホ,ヌヒケタ,10,群馬県,1994/5/19,27,2,26436,2020/5/29
I1088737,ンユヘ,ヨハソ,2,青森県,1949/4/21,72,1,34400,2020/12/12
V1088830,エフ,ニチワカ,30,和歌山県,1955/1/23,66,2,64900,2021/10/16
I1088967,ヤヨユ,クソシツ,39,高知県,1997/2/6,24,1,46700,2021/1/12
Q1089079,オワフ,クノタ,12,千葉県,1942/5/2,79,1,32871,2020/7/25
N1089183,ヲニ,ウク,19,山梨県,1958/8/16,63,2,25400,2020/9/19
S1089286,ツクノオ,クヘノ,38,愛媛県,1945/7/13,76,2,15481,2021/7/8
T1089386,シネ,ンユヨ,9,栃木県,1959/1/29,62,1,24800,2021/3/3
E1089427,ヒクヤ,ソチニ,18,福井県,1977/12/20,43,1,33500,2020/7/28
D1089527,メナイク,チマヨチ,11,埼玉県,1962/12/29,58,1,13900,2021/9/6
G1089683,ホテヒ,ヲメシコ,29,奈良県,1930/2/10,91,2,111200,2021/1/13
P1089723,アメキマ,ヲモツ,40,福岡県,2000/1/18,21,1,2451,2021/5/31
Z1089841,オク,ヌユノ,43,熊本県,1948/2/23,73,1,49829,2020/12/16
O1089967,スソ,モヒユ,3,岩手県,1995/5/22,26,1,40100,2020/11/23
X1090017,チカタコ,シソハ,19,山梨県,2000/6/30,21,1,27200,2020/2/9
C1090126,コトヤ,ナヨイケ,11,埼玉県,1962/11/20,58,2,29800,2020/4/13
E1090293,クツフタ,ミウワ,31,鳥取県,1980/7/19,41,2,33007,2019/11/4
H1090349,オヲミン,コメトネ,44,大分県,1962/8/3,59,2,40700,2021/1/26
A1090420,アヨト,ンモ,22,静岡県,2003/6/20,18,1,50400,2020/12/29
Y1090515,ツマ,サホ,25,滋賀県,1983/6/17,38,2,76600,2021/1/17
Z1090647,タヌ,オクタネ,4,宮城県,1939/9/21,82,1,9100,2021/10/16
K1090783,サマソ,ンカニユ,4,宮城県,1928/12/29,92,2,29000,2021/8/30
D1090889,シシヘ,ハエク,11,埼玉県,1979/7/14,42,2,47600,2021/6/26
C1090992,キエ,メメ,33,岡山県,1943/1/16,78,1,28548,2021/5/7
H1091010,イマミ,ミト,37,香川県,1960/5/16,61,1,20000,2020/5/30
V1091165,スム,モワナ,31,鳥取県,1946/5/14,75,1,44200,2021/6/13
I1091257,ナタ,トモナク,30,和歌山県,1998/8/10,23,2,62600,2021/8/4
K1091388,クサ,メソ,42,長崎県,2003/9/11,18,2,34400,2020/8/20
L1091497,クオ,コウユク,27,大阪府,1985/7/4,36,2,31949,2021/2/1
T1091565,キサ,ソサノ,16,富山県,1939/4/13,82,1,56802,2021/8/16
F1091633,ムチサ,ナホ,36,徳島県,2002/1/23,19,2,17989,2021/2/2
V1091736,ネモツテ,ノニ,28,兵庫県,1943/3/8,78,2,20300,2020/9/5
R1091878,ヨワヘ,チメ,39,高知県,1977/5/19,44,1,56200,2021/10/5
K1091980,シムフ,マソネフ,41,佐賀県,1921/12/16,99,1,30900,2021/9/22
L1092056,ンサ,ムヤフ,42,長崎県,1958/4/11,63,1,79400,2021/9/14
P1092154,ナキ,ヲケ,16,富山県,1962/8/27,59,1,58300,2021/8/29
B1092236,イセノ,ミヲヘツ,25,滋賀県,1942/3/14,79,1,67400,2021/10/27
N1092363,メオチオ,トノモ,7,福島県,2001/8/16,20,2,32694,2020/2/25
G1092458,ミン,シヌムヤ,26,京都府,1991/4/1,30,1,20725,2020/8/22
V1092539,ネヒフ,エハハ,20,長野県,1968/7/27,53,2,66600,2020/7/22
A1092649,テケヘ,メキヲ,33,岡山県,1956/10/18,65,2,14414,2021/2/28
Q1092758,モメクツ,ノソ,30,和歌山県,1929/9/19,92,1,47136,2021/9/1
G1092838,ヒタシ,オムマイ,10,群馬県,1933/11/24,87,2,31428,2021/8/21
P1092987,ヲユツ,アソソ,25,滋賀県,1952/4/18,69,2,47976,2021/8/20
P1093058,ヲヲムエ,トコイヲ,10,群馬県,1984/7/2,37,2,38895,2021/2/23
G1093153,ヲタ,クヒ,25,滋賀県,1926/5/28,95,1,41200,2021/4/11
X1093230,サウオ,ニスノハ,47,沖縄県,1991/10/22,30,2,12100,2020/11/7
F1093313,ンナスイ,ハワト,38,愛媛県,1969/1/12,52,1,94900,2021/10/21
S1093495,モカン,ホチソ,40,福岡県,1997/7/23,24,2,78300,2021/10/19
K1093532,ヤネソ,チアカ,12,千葉県,1984/4/29,37,2,34900,2021/1/11
B1093614,オホ,ヨニ,15,新潟県,1957/5/22,64,2,56800,2020/1/21
L1093729,フヘセ,マス,43,熊本県,1930/12/31,90,2,8400,2020/11/20
H1093845,ミムヤス,エミ,4,宮城県,1975/11/3,46,2,58940,2021/9/27
W1093963,ムホマコ,ユケサ,31,鳥取県,1939/6/25,82,1,12680,2021/10/22
V1094026,サネカメ,ヒク,9,栃木県,1943/12/11,77,1,44424,2021/1/29
O1094170,サホム,ヤト,38,愛媛県,1922/3/7,99,1,64800,2020/11/3
C1094279,マヒ,テチチ,45,宮崎県,1988/10/14,33,2,58335,2021/4/7
I1094355,モモ,ヤセ,44,大分県,1976/5/17,45,1,42628,2021/1/29
M1094412,タケオマ,ヤミハ,33,岡山県,1938/5/5,83,2,50700,2021/5/12
R1094532,ケチ,テノ,41,佐賀県,1981/8/21,40,1,37461,2021/1/29
O1094635,カイヘ,ヤヒメム,5,秋田県,1965/7/17,56,1,17816,2021/6/2
L1094773,ソエタ,ワモ,23,愛知県,2003/11/18,17,2,27800,2020/7/9
G1094826,ムユ,ウコ,15,新潟県,1944/3/14,77,2,50972,2021/8/6
V1094961,ヒヒ,ムネ,38,愛媛県,1971/2/5,50,2,17800,2020/11/21
M1095080,シマ,コミカ,43,熊本県,1989/5/24,32,1,25400,2019/8/26
M1095152,ノシ,ヤネヌ,16,富山県,1997/2/24,24,1,20000,2020/11/21
T1095297,カツヤン,テモ,37,香川県,1949/1/10,72,1,47728,2021/3/10
Q1095342,タツケ,ヒケヘ,33,岡山県,1968/5/30,53,1,51700,2021/4/28
J1095481,クアエセ,ツテト,24,三重県,1922/6/14,99,1,2419,2021/2/28
C1095515,ホネ,カン,37,香川県,1939/9/30,82,1,51314,2021/9/1
B1095639,ヘワフヌ,セア,27,大阪府,2006/5/13,15,2,39900,2021/9/24
D1095797,エマウ,ナヌトヘ,34,広島県,1959/4/25,62,2,29500,2020/5/1
Y1095884,サオシヒ,ヲメコ,22,静岡県,1969/12/10,51,1,1715,2021/8/28
Y1095981,メナニ,ナスホ,32,島根県,1946/9/2,75,1,25200,2019/5/21
R1096061,ヨコナ,ウメ,29,奈良県,1923/9/10,98,1,31011,2021/2/1
K1096183,サイ,ニクヲ,35,山口県,1991/1/29,30,1,13338,2021/10/7
Z1096274,ユヘコキ,ナヲシ,15,新潟県,1966/6/9,55,2,60332,2021/6/11
G1096376,モソコ,タキナ,7,福島県,1925/2/10,96,2,22000,2020/12/8
N1096410,ヲヤセ,トヲチナ,19,山梨県,1975/6/28,46,1,70200,2021/8/7
Y1096573,タカチセ,ンエホス,7,福島県,1944/1/24,77,1,34829,2021/9/16
P1096664,イアユフ,タコスユ,32,島根県,1922/9/28,99,1,51843,2021/7/20
F1096733,キミホ,ツモテ,7,福島県,1991/1/26,30,2,36900,2019/9/16
E1096835,ヲニヤ,カナホエ,23,愛知県,1962/12/2,58,2,34800,2020/10/10
X1096913,ワン,ムホクツ,10,群馬県,1922/3/6,99,2,35956,2021/4/21
G1097019,ツコ,ツソセ,23,愛知県,1965/8/4,56,1,11400,2021/6/25
E1097143,ユヨコソ,オカフム,18,福井県,1961/12/29,59,1,66722,2021/6/14
D1097257,ハニマニ,トヤタ,25,滋賀県,1929/12/13,91,2,65100,2021/8/9
L1097354,トイア,キハユニ,33,岡山県,1974/1/28,47,2,40000,2021/4/29
O1097453,セヌヘモ,ヲトコク,41,佐賀県,1961/1/29,60,2,93000,2021/10/9
Y1097535,ケツソケ,ハツ,32,島根県,1959/6/17,62,2,55627,2020/11/11
I1097642,ミスマス,クチサミ,30,和歌山県,1924/10/17,97,2,42764,2021/3/19
P1097788,マアキニ,ノキエヒ,34,広島県,1924/8/22,97,2,17900,2021/7/28
S1097854,ハテス,ツクノハ,32,島根県,1925/3/15,96,2,14200,2019/2/16
D1097958,ネヤフ,ンナ,36,徳島県,1986/4/14,35,1,48800,2021/9/9
E1098027,ツネソイ,ヘクネノ,8,茨城県,1981/8/3,40,2,15600,2020/12/21
U1098170,ヘヘ,ヲヨヲ,39,高知県,1950/8/21,71,2,23022,2019/11/21
Q1098255,ツヨ,メヒオ,38,愛媛県,1939/2/12,82,1,103350,2021/2/18
U1098364,チネメ,ムコ,24,三重県,1922/8/6,99,1,55754,2021/2/2
C1098446,ミヲ,ムイマ,28,兵庫県,2006/7/12,15,1,78400,2021/5/23
Y1098523,ハヨヘ,オヒクマ,17,石川県,1935/8/25,86,2,28823,2020/7/15
O1098638,アネセ,タメツウ,24,三重県,1938/6/4,83,1,61100,2021/5/29
N1098762,オアノ,シウオエ,6,山形県,1958/1/2,63,1,21271,2020/9/29
R1098883,マエウ,ツノヨ,28,兵庫県,1952/4/8,69,2,41700,2021/1/20
H1098962,ムンコ,テム,36,徳島県,1999/9/30,22,2,55200,2021/9/13
W1099063,ヤナチ,ヌスヤソ,16,富山県,1934/11/21,86,2,3400,2019/5/26
W1099153,エヒハミ,ユナンシ,39,高知県,2005/6/10,16,1,25500,2021/10/16
D1099247,マケメメ,オクヌム,5,秋田県,1944/9/3,77,2,29200,2021/7/20
O1099317,ンユ,フトキ,1,北海道,1933/5/16,88,2,69659,2021/9/9
B1099450,コカネナ,クタワオ,46,鹿児島県,1992/9/7,29,1,59155,2021/10/30
M1099551,ホモテミ,ツノタ,43,熊本県,1965/1/23,56,2,34771,2020/2/24
N1099674,ヨユ,ンヤウア,2,青森県,1947/9/30,74,1,4400,2019/4/2
S1099779,ミミウ,キヌクム,21,岐阜県,1962/11/29,58,2,37300,2021/6/14
Z1099897,テナ,ヌテノ,22,静岡県,1971/8/21,50,2,34006,2021/10/24
L1099953,マコス,アス,21,岐阜県,1977/5/7,44,2,6300,2019/4/2
F1100089,ンナ,ワウヘ,38,愛媛県,1958/4/16,63,2,21500,2020/2/18
R1100113,メニメヘ,ホサ,23,愛知県,1964/10/31,57,1,55300,2020/10/15
S1100295,ケイア,ヌトテタ,27,大阪府,1980/12/27,40,2,23000,2020/5/1
I1100385,トユ,セヌ,10,群馬県,1960/3/17,61,2,29300,2020/8/18
Z1100442,カエ,ヘシク,6,山形県,1952/6/11,69,2,1944,2019/11/8
X1100596,ノト,チア,47,沖縄県,2001/11/8,19,2,56600,2019/9/9
O1100680,テア,ユヒメヘ,29,奈良県,1930/12/23,90,2,17508,2021/8/5
Y1100760,キノチ,ヌチモハ,2,青森県,1942/5/26,79,1,54300,2021/10/20
C1100863,キオ,ヒムアイ,27,大阪府,2002/9/12,19,1,46400,2019/10/15
O1100920,ヨヌタ,ケコ,18,福井県,1953/7/12,68,2,1500,2021/5/13
N1101089,ソソアマ,サンスホ,34,広島県,1924/10/16,97,1,37800,2020/4/9
T1101180,ユハト,ムヘキ,4,宮城県,1970/7/6,51,2,2103,2019/4/13
D1101242,ハエ,セミ,4,宮城県,1922/7/12,99,1,69600,2021/2/20
Q1101318,セムヒサ,ソク,25,滋賀県,1976/7/15,45,2,13533,2021/5/25
A1101470,オマクサ,コソテ,25,滋賀県,1983/4/30,38,1,52400,2020/3/30
K1101557,コエ,キカマヒ,33,岡山県,1925/5/18,96,1,30500,2020/5/19
R1101695,ヘト,タサツユ,33,岡山県,1954/4/21,67,1,51600,2021/9/9
B1101769,モマネウ,トシ,3,岩手県,1930/2/18,91,2,27500,2021/9/17
U1101846,セヒトテ,テミシ,47,沖縄県,1926/6/5,95,2,26932,2021/7/15
C1101978,ヲミケ,オモニコ,19,山梨県,1937/3/15,84,1,3900,2019/10/5
H1102063,トマシイ,セヲネカ,33,岡山県,1954/4/25,67,1,36000,2020/1/22
S1102154,モメ,ソヨタク,14,神奈川県,1951/5/23,70,2,24120,2021/2/14
S1102256,ヒネ,シウ,45,宮崎県,1926/10/17,95,2,78677,2021/7/20
T1102335,コヘヲ,ナキム,28,兵庫県,2004/12/28,16,2,40200,2021/6/18
